Id,Title,Body
http://k.img.com.ua/rss/ua/4013798,Кличко покликав німецьких інвесторів до Києва,"Київ - перспективний і відкритий ринок для бізнесу та інвестицій. Про це мер Києва Віталій Кличко заявив під час виступу на Дні німецької економіки, який цьогоріч проходить у місті Аахені, інформує прес-служба в четвер, 20 вересня.  Головна тема форуму - Світова торгівля в умовах глобальних змін. У ньому беруть участь близько 1000 чоловік, серед яких представники понад 50 промислово-торговельних палат Німеччини, провідних німецьких компаній, які здійснюють зовнішньоторговельну діяльність, експерти.  'Сьогодні Київ, як ніколи, підготовлений і відкритий до співпраці. Перспективний для інвестування', - сказав Кличко. Він зазначив, що 60% всіх іноземних інвестицій в українську економіку 'приходять' саме в столицю, адже в місті введені прозорі механізми управління, а 'гарантом' для інвесторів мер виступає особисто. Кличко запевнив, що Київ є надійним партнером і перспективним ринком для бізнесу та інвестицій. 'Хочу запевнити, ми - надійні партнери. Київ - перспективний ринок для бізнесу та інвестицій. І його мер - захисник інвестицій і добре говорить по-німецьки. Ми приречені на ефективну співпрацю. І налаштовані на неї!' - звернувся до представників німецького бізнесу Кличко. Він зазначив, що для України одним з пріоритетних напрямків є розвиток відносин з Німеччиною, яка допомагає політично, підтримує європейські прагнення України і є одним з основних українських зовнішньоекономічних партнерів. Кличко підкреслив, що такі відомі німецькі компанії як Deutz Fahr, Knauf, HiPP, Walter Bau, Leon, BMW, MAN, AUDI вже активно працюють на українському ринку. Німеччина також є одним з найбільших постачальників високотехнологічної продукції і обладнання в Україні. Разом з тим, мер відзначив ефективність співпраці Києва з німецькими партнерами. 'Завдяки компанії SAP, наприклад, ми першими в Україні, ввели в столиці відкритий бюджет. Тим самим почавши впроваджувати технологію міського управління Smart City', - сказав він. Мер додав, що Київ також співпрацює з німецькими фахівцями в галузі мостобудування, енергоефективності. А фахівці з муніципалітету підвищують кваліфікацію і переймають досвід управління у колег в різних містах Німеччини. Кличко зазначив, що в 2014 році він взяв на себе відповідальність змінити місто і робить це. 'Можу сказати: нехай складно і з проблемами, але мені це вдається. Київ змінюється, розвивається, стає красивішим і комфортнішим', - сказав він. Кличко також зазначив, що протягом останніх чотирьох років столична влада працює над оновленням інфраструктури, будівництвом нових шкіл і садочків, ремонтом лікарень, створенням зелених зон відпочинку європейського рівня. 'Сьогодні до Києва приїжджають мільйони туристів, ми проводимо великі заходи міжнародного рівня. Київ можна образно назвати 'островом процвітання' в країні. Адже, порівняно з 2014 роком, міський бюджет збільшився удвічі. А зовнішній борг міста ми вдвічі скоротили. Багато українців сьогодні хочуть жити саме в Києві, оскільки в столиці найвищий рівень заробітної плати в країні, немає безробіття, краща соціальна підтримка незахищених категорій населення', - зазначив Кличко. Він також сказав, що робить все, аби київські стандарти життя та ноу-хау поширювалися й на інші українські міста. 'У мене ще багато амбітних планів та завдань, і я працюю, щоб Київ став процвітаючою європейською столицею. І основна наша задача - продовжувати системні економічні реформи, викорінювати корупцію на всіх рівнях. Не побороли ми її ще, на жаль. Але ми це сьогодні робимо', - підкреслив мер Києва.                     Дивіться фото: Кличко покликав німецьких інвесторів до Києва              Раніше повідомлялося, що Віталій Кличко в Берліні підписав меморандум з компанією atene KOM GmbH про співробітництво у сфері розвитку Smart City. Також раніше стало відомо, що в Києві збільшили фінансування програми 'Турбота. Назустріч киянам' майже на 200 млн грн - до 1,75 млрд грн. Про це повідомив мер столиці Віталій Кличко."
http://k.img.com.ua/rss/ua/4001679,"З'явилося відео, як байкер почав стріляти у водія автобуса в Києві","   З'явилося відео конфлікту між мотоциклістом і водієм автобуса в Києві, який закінчився стріляниною. Відповідний ролик в четвер, 16 серпня, був опублікований на сторінці Київ Оперативний в соцмережі Facebook.     Судячи з відео, байкер зупинився перед автобусом і підійшов до місця водія, після чого той вийшов з транспорту, і почалася бійка.     В результаті, водій отримав кілька поранень з травматичного пістолета, а байкер був затриманий.     'Байкер зробив 10 пострілів з пістолета Форт 17 у водія маршрутного автобуса. Пілот байка затриманий відповідно до статті 208 КПК України та поміщений в ізолятор тимчасового утримання. Відкрито кримінальне провадження за статтею 296 КК України (хуліганство)', - йдеться в повідомленні. Нагадаємо, 15 серпня в ході бійки невідомі застосували вогнепальну зброю, в результаті чого постраждали двоє людей. Їх госпіталізували: одного з дотичним пораненням в ліве стегно, а іншого - в ногу і живіт.   "
http://k.img.com.ua/rss/ua/4001390,У центрі Києва посеред вулиці помер чоловік,"У Києві на Бессарабській площі вранці в четвер, 16 серпня, посеред вулиці помер чоловік. Про це повідомляє Информатор.  За словами очевидців, до супермаркету підійшли двоє чоловіків. Одному з них стало зле: він ліг на сходинки і почав задихатися.  Прибулі на місце медики виявилися безсилі і констатували смерть.  За попередніми даними, причиною загибелі чоловіка стало передозування наркотиків.  Раніше в Дніпрі на території Слобожанського проспекту знайшли труп.  Також повідомлялося, що в Харкові на Університетській вулиці померла жінка."
http://k.img.com.ua/rss/ua/4001239,Нічний ураган перетворив Хрещатик на смітник,"Київ вночі 16 серпня пережив найсильнішу грозу зі зливовим дощем, блискавками і градом.  Пориви вітру були настільки сильними, що зламали на Хрещатику дерева, рекламні щити і вивіски. Повністю знесло залишки полотнища, яким прикривався згорілий Будинок профспілок.   Дивіться фото: Нічний ураган перетворив Хрещатик на смітник   Потоки дощу вночі повністю залили асфальт і наскидали гори сміття. Комунальники розпочали прибирання на Хрещатику вручну, стоячи по гомілкові кісточки у воді.      Рух автомобілів по вулиці вже відкрили.  Нагадаємо, у ніч на четвер, 16 серпня, столицю накрив ураган з градом."
http://k.img.com.ua/rss/ua/4001227,Потоп у Києві: столицю накрив ураган з градом,"Уночі Київ вкотре накрила негода. Найсильніший дощ підтопив магазини, переходи, а Хрещатик перетворився на річку. 	 	Потужний вітер повалив дерева на машини і трамвайні колії, кілька маршрутів перекриті.  	Знімки та відео нічного армагедона публікують жителі по всьому місту. Судячи з постів у соцмережах сильно постраждав Поділ, Татарка, Дарниця, Шулявка і Хрещатик.  	  	  	    #град #киев Публикация от  Андрей (@bilovus.andriy) 15 Авг 2018 в 5:57 PDT   	  	  	  	  	  	Синоптик Наталія Діденко на своїй сторінці у Facebook опублікувала знімок потужного атмосферного фронту, який накрив столицю. Наприкінці липня Київ накрила потужна злива і за день випала тримісячна норма опадів.   	Новини від Корреспондент.net в Telegram. Підписуйтесь на наш канал https://t.me/korrespondentnet"
http://k.img.com.ua/rss/ua/4001167,У Києві потрапив в ДТП екс-нардеп Мірошниченко,"Колишній народний депутат від партії Свобода Ігор Мірошниченко потрапив в аварію на проспекті Перемоги в Києві, повідомляє 112 Україна.  Зазначається, що зіткнулися два автомобілі - Honda і BMW Мірошниченка.  Водій Honda стверджує, що рухався третьою смугою зі швидкістю 90 км/год. В цей час його підрізав автомобіль, який проїхав повз, а він врізався в BMW, за кермом якого їхав колишній народний депутат.  'Ми їхали по швидкісній частині. Була червона машина без поворотника наліво, наїхала на мене, я натиснув на гальмо і вивернув кермо вправо, мене занесло', - заявив водій Honda Азіру Рамазанов.  Мірошниченко стверджує, що їхав зі швидкістю 50 км/год.  'Я почув ззаду звук, схожий на звук байка, який розганяється зі світлофора. Виявилося, що це не байк, а автомобіль, який з шаленою швидкістю летить мені в зад. Він мене вдарив, після чого я трохи прокотився, зупинився, повідомив в страхову компанію і поліцію', - зазначив екс-нардеп.  Нагадаємо, максимальна дозволена швидкість руху на проспекті Перемоги становить 50 кілометрів на годину.        Новини від Корреспондент.net в Telegram. Підписуйтеся на наш канал https://t.me/korrespondentnet  "
http://k.img.com.ua/rss/ua/3999827,У Києві пограбували ювелірний магазин і застрелили охоронця,"У Києві троє невідомих пограбували ювелірний магазин і застрелили охоронця, повідомляє прес-служба поліції столиці.  Зі слів свідків, троє чоловіків у масках забігли в приміщення на вулиці Щербакова, кілька разів вистрілили в охоронця, забрали ювелірні прикраси і зникли на темно-синьому Peugeot в напрямку станції метро 'Нивки'. Охоронець, в якого стріляли, від отриманих травм помер.  Правоохоронці ввели спеціальний оперативний план для розшуку і затримання зловмисників.  Відзначимо, що повідомлення про напад надійшло о 20:00. На місці працюють патрульні поліцейські, кінологи, криміналістична лабораторія та слідчо-оперативні групи Головного та Шевченківського управлінь поліції.  Нагадаємо, що раніше в Києві на вулиці Генерала Антонова грабіжники напали на приватного підприємця та відібрали велику суму грошей."
http://k.img.com.ua/rss/ua/3999524,У Києві обмежать рух Північним мостом,"У Києві на вихідних, 11-12 серпня, буде обмежено рух на Північному мосту. Про це повідомляє прес-служба Київської міської державної адміністрації.   Рух транспорту буде обмежено з 22:00 11 серпня до 06:00 12 серпня через ремонт асфальтобетонного покриття. Так, на мосту через р. Десенка частково обмежать рух транспорту в напрямку житлового масиву Троєщина в першій смузі руху.  У Києві почали розбирати Шулявський міст   Раніше повідомлялося, що в столиці на 20 днів обмежать рух Південним мостом.     "
http://k.img.com.ua/rss/ua/3999429,"У Києві 'замінували' майдан Незалежності","На майдані Незалежності в Києві шукають вибухівку. Про це в п'ятницю, 10 серпня, повідомили в прес-службі поліції Києва.  Зазначається, що інформація про 'замінування' надійшла по телефону.  'До чергової частини поліції Києва зателефонувала жінка і сказала, що майдан Незалежності замінований гранатами', - повідомили в поліції.  Пізніше надійшло повідомлення від чоловіка про 'замінування' й станції метрополітену.  У поліції зазначили, що на місце події негайно виїхали фахівці вибухотехнічної служби, кінологи і слідчо-оперативні групи.  'Правоохоронці ретельно оглядають територію на наявність небезпечних предметів і речовин', - йдеться в повідомленні.  Сьогодні також повідомлялося, що після анонімного дзвінка про замінування закрили станцію метро Шулявська. Зазначається, що вибухонебезпечних предметів там не виявили.  Як повідомлялося, 16 липня в Києві 'мінували' станцію метро Лівобережна, а також станцію Гідропарк. Під час перевірок вибухівки не виявили.  Новини від Корреспондент.net у Telegram. Підписуйтесь на наш канал https://t.me/korrespondentnet."
http://k.img.com.ua/rss/ua/3999418,У Києві посилять заходи безпеки 10 і 12 серпня,"У Києві у зв'язку з проведенням футбольних матчів 10 і 12 серпня будуть посилені заходи безпеки біля стадіонів Динамо і Оболонь-Арена. Про це повідомляє столичне управління Нацполіції в п'ятницю.  Повідомляється, що у зв'язку з проведенням футбольних матчів близько 260 співробітників поліції і військовослужбовців Національної гвардії забезпечуватимуть публічну безпеку і правопорядок на прилеглих до стадіонів територіях і зупинках громадського транспорту.  Йдеться про матч української Прем'єр-ліги 10 серпня між командами Олімпік (Донецьк) і Львів (Львів) на стадіоні Динамо ім. Валерія Лобановського, а також гру Першої ліги 12 серпня між Оболонь-Бровар (Київ) і Зіркою (Кропивницький).  Поліція закликає вболівальників не порушувати громадський порядок і сприяти в забезпеченні правопорядку і безпеки.  Раніше сьогодні повідомлялося про закриття в Києві станції метро Шулявська. Після анонімного дзвінка про замінування на станції шукають вибухівку.  Також повідомлялося про спробу пограбування перехожого в центрі Києва. Але грабіжник зламав ногу і був затриманий поліцейськими.  Новини від Корреспондент.net у Telegram. Підписуйтесь на наш канал https://t.me/korrespondentnet."
